r_x,r_y,l_x,l_y,prescription
108,47,72,46,0
114,50,71,50,0
113,48,77,43,0
113,50,74,47,0
106,46,77,45,0
115,52,70,46,0
95,49,62,48,0
96,46,68,45,0
113,49,59,50,0
126,47,82,42,0
124,48,84,41,0
101,48,79,42,0
95,49,58,46,0
85,46,56,52,0
102,47,73,47,0
105,48,59,52,0
112,49,70,45,0
97,50,74,44,0
93,52,70,44,0
101,46,53,51,0
116,49,75,43,0
114,50,74,46,0
107,49,73,46,0
78,36,72,48,0
115,47,74,44,0
115,50,78,44,0
114,51,79,44,0
116,50,79,44,0
117,53,80,44,0
117,52,80,43,0
117,50,80,44,0
120,52,78,45,0
126,50,79,43,0
75,42,85,41,0
117,51,76,45,0
110,52,74,44,0
94,49,59,47,0
117,51,64,48,0
124,52,80,42,0
123,45,84,38,0
113,49,72,47,0
88,51,56,51,0
108,47,70,44,0
127,49,84,39,0
98,50,84,41,0
117,48,70,46,0
96,49,72,45,0
124,48,60,44,0
115,48,74,41,0
92,43,73,42,0
109,52,64,45,0
117,52,73,45,0
119,51,74,43,0
105,50,74,45,0
93,50,70,49,0
119,48,84,35,0
98,54,66,49,0
93,53,65,48,0
93,53,55,52,0
93,51,84,43,0
94,43,65,45,0
98,46,68,40,0
105,49,65,43,0
91,51,59,45,0
122,46,62,48,0
124,53,83,34,0
112,52,74,45,0
88,50,56,50,0
92,51,54,52,0
91,51,60,49,0
90,50,58,52,0
93,53,59,53,0
107,55,61,53,0
108,52,66,49,0
114,53,80,42,0
95,52,78,44,0
96,50,58,48,0
93,51,61,52,0
95,52,63,52,0
93,51,56,54,0
95,53,58,52,0
95,52,63,51,0
95,49,56,51,0
79,43,57,51,0
86,49,53,51,0
88,49,54,51,0
87,46,54,51,0
112,54,57,51,0
119,52,76,43,0
117,51,78,45,0
93,51,79,44,0
95,51,59,49,0
95,50,59,50,0
117,50,59,48,0
118,51,80,41,0
122,50,84,38,0
94,49,77,46,0
94,49,54,47,0
94,50,60,47,0
89,45,61,48,0
94,48,55,50,0
90,44,51,46,0
109,50,70,45,0
115,53,71,44,0
93,47,77,41,0
103,50,59,48,0
89,48,66,49,0
88,49,54,47,0
88,46,51,51,0
91,49,56,51,0
87,47,50,50,0
87,45,50,49,0
113,53,61,48,0
117,49,77,44,0
117,50,76,41,0
121,52,75,45,0
124,51,82,39,0
120,53,82,38,0
92,49,78,42,0
91,47,54,50,0
98,51,53,48,0
116,49,78,41,0
124,49,76,42,0
106,52,79,41,0
94,49,59,45,0
91,47,54,52,0
91,49,54,50,0
107,52,48,48,0
114,52,75,43,0
115,49,79,42,0
124,47,74,42,0
94,45,76,40,0
94,49,61,44,0
95,50,62,46,0
95,46,57,44,0
98,49,58,45,0
100,51,63,49,0
105,49,54,49,0
114,52,78,43,0
119,49,81,39,0
116,51,81,42,0
97,49,77,43,0
104,50,52,46,0
109,44,50,50,0
106,49,70,39,0
123,49,80,39,0
117,49,74,41,0
120,48,74,42,0
119,48,77,41,0
115,49,80,38,0
104,51,66,44,0
100,47,66,48,0
108,50,75,43,0
115,49,72,44,0
98,48,55,45,0
94,48,58,50,0
115,52,75,45,0
115,53,76,43,0
97,50,59,48,0
91,50,55,50,0
93,48,62,45,0
89,46,60,46,0
96,46,52,47,0
111,50,50,44,0
114,52,77,44,0
92,48,72,45,0
91,49,50,46,0
92,51,54,44,0
117,51,75,44,0
91,49,76,44,0
108,53,55,49,0
109,53,59,45,0
105,52,72,45,0
107,52,67,45,0
101,50,70,44,0
105,51,76,43,0
90,50,68,48,0
92,50,65,48,0
94,50,55,51,0
96,50,62,45,0
93,50,63,48,0
95,49,54,50,0
96,49,58,49,0
96,49,57,45,0
91,47,61,46,0
102,49,52,48,0
101,50,62,48,0
106,54,70,47,0
112,51,72,45,0
97,52,72,46,0
97,50,57,46,0
114,51,74,44,0
100,52,74,43,0
108,51,57,51,0
107,54,68,47,0
98,48,68,44,0
99,52,60,48,0
109,48,70,44,0
108,45,60,46,0
94,50,52,47,0
99,50,64,47,0
96,49,66,50,0
97,50,54,48,0
96,50,56,50,0
105,49,67,46,0
107,50,66,41,0
95,49,67,46,0
105,51,58,42,0
91,48,67,45,0
82,44,49,48,0
84,45,49,49,0
100,51,44,46,0
106,50,69,44,0
111,51,75,43,0
105,44,65,40,0
113,50,66,45,0
90,48,75,45,0
87,46,45,50,0
87,46,52,46,0
94,45,50,46,0
106,46,58,47,0
67,43,76,64,1
60,42,75,63,1
60,45,73,62,1
64,43,74,66,1
67,42,76,65,1
66,41,69,63,1
59,45,73,64,1
57,43,76,67,1
58,44,69,62,1
59,44,74,64,1
76,38,88,66,1
70,44,89,68,1
66,45,81,68,1
55,43,75,64,1
55,44,62,59,1
59,45,69,63,1
70,41,84,67,1
71,43,84,65,1
71,43,80,65,1
65,45,84,65,1
57,44,69,62,1
60,44,72,62,1
60,44,81,65,1
52,44,66,61,1
52,44,67,62,1
52,44,66,61,1
52,43,68,61,1
53,43,72,63,1
48,43,65,58,1
48,43,68,59,1
53,43,69,60,1
50,44,67,62,1
82,38,65,61,1
74,42,90,65,1
73,43,86,65,1
73,43,87,64,1
72,43,62,55,1
58,45,86,66,1
57,44,70,60,1
87,32,76,62,1
84,38,101,62,1
77,42,102,62,1
85,38,100,63,1
84,41,100,63,1
83,37,99,63,1
81,38,101,61,1
85,37,98,62,1
80,40,99,60,1
88,34,95,62,1
86,37,100,62,1
81,43,89,60,1
85,43,97,64,1
73,46,86,67,1
61,100,95,64,1
80,42,93,66,1
60,45,82,64,1
67,45,81,66,1
76,46,80,67,1
65,47,86,68,1
61,46,72,61,1
63,47,72,62,1
64,48,80,68,1
71,47,70,62,1
75,44,83,68,1
84,40,92,67,1
83,41,103,63,1
84,41,99,65,1
58,45,99,64,1
64,44,74,61,1
55,46,77,65,1
64,46,70,60,1
69,46,81,65,1
64,44,81,66,1
53,46,70,61,1
80,45,74,64,1
70,48,90,68,1
63,44,84,64,1
78,43,90,64,1
76,41,91,61,1
63,47,72,60,1
60,45,74,64,1
58,45,67,59,1
78,43,88,65,1
58,44,87,66,1
58,44,69,61,1
65,46,67,61,1
68,46,77,64,1
59,45,86,69,1
57,40,71,59,1
52,42,63,54,1
73,45,69,59,1
72,45,86,67,1
61,44,64,58,1
56,45,75,64,1
72,46,96,67,1
89,38,81,65,1
85,40,108,62,1
80,43,98,66,1
85,39,97,63,1
86,35,105,65,1
87,34,104,60,1
87,36,102,62,1
89,32,108,56,1
87,34,109,57,1
66,45,95,59,1
73,44,84,65,1
69,43,80,64,1
62,48,83,64,1
56,47,71,61,1
56,46,76,63,1
65,46,79,68,1
63,44,78,65,1
64,45,74,65,1
70,44,75,63,1
54,46,78,65,1
54,45,69,61,1
69,47,87,67,1
68,47,84,67,1
67,44,83,66,1
61,47,86,68,1
58,47,74,64,1
59,46,74,64,1
64,46,76,62,1
77,44,95,67,1
73,43,88,66,1
78,44,88,66,1
81,42,87,66,1
85,38,100,65,1
85,37,102,63,1
84,37,107,63,1
74,48,96,66,1
63,44,81,62,1
64,45,81,63,1
64,47,81,61,1
62,48,85,68,1
57,45,71,62,1
57,46,72,62,1
61,47,74,62,1
74,47,78,64,1
67,44,83,65,1
66,44,83,66,1
80,43,97,68,1
80,40,94,68,1
70,45,97,66,1
78,43,97,66,1
84,40,97,66,1
81,40,100,63,1
88,39,104,67,1
82,42,100,67,1
80,41,95,67,1
81,42,93,67,1
81,42,96,65,1
79,43,95,67,1
78,43,95,66,1
70,45,95,66,1
63,46,86,65,1
66,46,79,63,1
60,46,81,66,1
62,49,80,66,1
70,47,79,66,1
71,47,81,66,1
70,46,81,66,1
71,46,81,66,1
70,46,82,66,1
63,45,82,66,1
55,46,82,66,1
63,48,82,66,1
66,48,82,66,1
66,47,82,66,1
66,46,79,64,1
70,49,83,63,1
69,47,83,66,1
68,44,83,67,1
69,47,84,67,1
65,44,82,64,1
56,45,80,65,1
58,44,76,65,1
58,44,75,64,1
62,42,78,63,1
60,44,77,62,1
59,44,76,64,1
50,44,70,62,1
55,43,72,61,1
56,44,72,62,1
56,44,74,62,1
59,47,75,62,1
51,44,71,60,1
53,45,72,63,1
54,46,71,63,1
55,45,71,59,1
55,47,74,63,1
52,45,73,64,1
54,46,73,62,1
51,44,71,62,1
51,45,72,62,1
67,44,85,66,1
75,44,93,67,1
75,44,95,67,1
78,41,95,67,1
85,39,104,65,1
83,38,101,64,1
79,40,104,63,1
73,44,99,67,1
65,43,89,65,1
53,43,73,61,1
57,44,76,63,1
59,44,82,65,1
57,45,79,65,1
57,45,80,66,1
57,45,77,64,1
57,45,76,65,1
48,44,76,64,1
53,43,73,64,1
53,43,83,67,1
53,43,71,62,1
53,43,75,63,1
80,39,78,64,1
82,36,106,60,1
81,36,99,63,1
79,39,100,64,1
79,39,103,64,1
78,39,102,63,1
79,40,102,65,1
79,40,103,64,1
79,40,101,66,1
61,44,79,64,1
62,45,81,66,1
64,45,81,66,1
63,44,87,66,1
65,46,82,66,1
55,45,75,62,1
60,45,74,62,1
69,42,76,62,1
79,41,97,66,1
75,42,103,64,1
76,39,106,64,1
84,36,108,61,1
82,36,104,62,1
80,34,103,59,1
54,39,75,60,1
55,42,75,58,1
60,42,74,68,1
67,43,79,63,1
77,39,87,62,1
79,36,98,64,1
66,40,100,60,1
63,41,81,60,1
60,41,79,62,1
66,46,86,64,1
66,48,85,68,1
57,45,85,71,1
67,46,69,62,1
83,38,103,64,1
84,40,102,64,1
56,45,78,66,1
57,43,75,63,1
51,45,75,65,1
81,39,78,65,1
80,36,98,66,1
79,38,97,63,1
79,39,96,63,1
77,42,102,64,1
60,41,96,67,1
58,44,76,62,1
50,43,76,60,1
56,43,77,62,1
80,39,95,65,1
81,39,100,64,1
77,43,97,65,1
85,29,101,64,1
86,33,105,55,1
64,40,79,59,1
58,41,79,59,1
75,39,73,62,1
74,35,95,57,1
61,39,93,60,1
64,37,81,62,1
63,40,83,60,1
70,43,75,61,1
75,40,93,64,1
78,38,93,64,1
55,40,92,56,1
60,42,75,61,1
68,41,81,62,1
65,44,83,62,1
78,38,95,63,1
81,35,96,63,1
77,39,107,61,1
83,35,100,59,1
61,41,95,61,1
57,42,79,61,1
68,54,78,62,1
62,44,69,44,1
83,49,64,40,1
64,54,75,62,1
64,57,82,63,1
